"abbreviation","full_name","division","conference","color","alternate_color","logo"
"ATL","Atlanta Hawks","Southeast","East","c8102e","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/atl.png"
"BOS","Boston Celtics","Atlantic","East","008348","bb9753","https://a.espncdn.com/i/teamlogos/nba/500/bos.png"
"BKN","Brooklyn Nets","Atlantic","East","000000","ffffff","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png"
"CHA","Charlotte Hornets","Southeast","East","008ca8","1d1060","https://a.espncdn.com/i/teamlogos/nba/500/cha.png"
"CHI","Chicago Bulls","Central","East","ce1141","000000","https://a.espncdn.com/i/teamlogos/nba/500/chi.png"
"CLE","Cleveland Cavaliers","Central","East","860038","bc945c","https://a.espncdn.com/i/teamlogos/nba/500/cle.png"
"DAL","Dallas Mavericks","Southwest","West","0064b1","bbc4ca","https://a.espncdn.com/i/teamlogos/nba/500/dal.png"
"DEN","Denver Nuggets","Northwest","West","0e2240","fec524","https://a.espncdn.com/i/teamlogos/nba/500/den.png"
"DET","Detroit Pistons","Central","East","1d428a","c8102e","https://a.espncdn.com/i/teamlogos/nba/500/det.png"
"GSW","Golden State Warriors","Pacific","West","1d428a","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/gs.png"
"HOU","Houston Rockets","Southwest","West","ce1141","000000","https://a.espncdn.com/i/teamlogos/nba/500/hou.png"
"IND","Indiana Pacers","Central","East","002d62","fdbb30","https://a.espncdn.com/i/teamlogos/nba/500/ind.png"
"LAC","LA Clippers","Pacific","West","1d428a","c8102e","https://a.espncdn.com/i/teamlogos/nba/500/lac.png"
"LAL","Los Angeles Lakers","Pacific","West","552583","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/lal.png"
"MEM","Memphis Grizzlies","Southwest","West","5d76a9","12173f","https://a.espncdn.com/i/teamlogos/nba/500/mem.png"
"MIA","Miami Heat","Southeast","East","98002e","f9a01b","https://a.espncdn.com/i/teamlogos/nba/500/mia.png"
"MIL","Milwaukee Bucks","Central","East","00471b","eee1c6","https://a.espncdn.com/i/teamlogos/nba/500/mil.png"
"MIN","Minnesota Timberwolves","Northwest","West","266092","79bc43","https://a.espncdn.com/i/teamlogos/nba/500/min.png"
"NOP","New Orleans Pelicans","Southwest","West","0a2240","b4975a","https://a.espncdn.com/i/teamlogos/nba/500/no.png"
"NYK","New York Knicks","Atlantic","East","1d428a","f58426","https://a.espncdn.com/i/teamlogos/nba/500/ny.png"
"OKC","Oklahoma City Thunder","Northwest","West","007ac1","ef3b24","https://a.espncdn.com/i/teamlogos/nba/500/okc.png"
"ORL","Orlando Magic","Southeast","East","0077c0","c4ced4","https://a.espncdn.com/i/teamlogos/nba/500/orl.png"
"PHI","Philadelphia 76ers","Atlantic","East","1d428a","e01234","https://a.espncdn.com/i/teamlogos/nba/500/phi.png"
"PHX","Phoenix Suns","Pacific","West","29127a","e56020","https://a.espncdn.com/i/teamlogos/nba/500/phx.png"
"POR","Portland Trail Blazers","Northwest","West","e03a3e","000000","https://a.espncdn.com/i/teamlogos/nba/500/por.png"
"SAC","Sacramento Kings","Pacific","West","393996","6a7a82","https://a.espncdn.com/i/teamlogos/nba/500/sac.png"
"SAS","San Antonio Spurs","Southwest","West","000000","c4ced4","https://a.espncdn.com/i/teamlogos/nba/500/sa.png"
"TOR","Toronto Raptors","Atlantic","East","d91244","000000","https://a.espncdn.com/i/teamlogos/nba/500/tor.png"
"UTA","Utah Jazz","Northwest","West","fff21f","000000","https://a.espncdn.com/i/teamlogos/nba/500/utah.png"
"WAS","Washington Wizards","Southeast","East","e31837","002b5c","https://a.espncdn.com/i/teamlogos/nba/500/wsh.png"
